# Time(s)	Traffic(Mbps)
8.03	381.38
8.04	381.38
8.05	382.238
8.06	382.238
8.07	384.646
8.08	384.646
8.09	385.448
8.1	385.448
8.11	386.258
8.12	386.258
8.13	387.074
8.14	387.074
8.15	387.883
8.16	387.883
8.17	388.686
8.18	388.686
8.19	391.059
8.2	391.059
8.21	391.847
8.22	391.847
8.23	392.643
8.24	392.643
8.25	393.445
8.26	393.445
8.27	394.241
8.28	394.241
8.29	395.029
8.3	395.029
8.31	397.4
8.32	397.4
8.33	398.198
8.34	398.198
8.35	398.993
8.36	398.993
8.37	399.782
8.38	399.782
8.39	400.57
8.4	400.57
8.41	401.359
8.42	401.359
8.43	403.729
8.44	403.729
8.45	404.527
8.46	404.527
8.47	405.323
8.48	405.323
8.49	406.111
8.5	406.111
8.51	406.9
8.52	406.9
8.53	407.688
8.54	407.688
8.55	410.059
8.56	410.059
8.57	410.856
8.58	410.856
8.59	411.652
8.6	411.652
8.61	412.441
8.62	412.441
8.63	413.229
8.64	413.229
8.65	414.018
8.66	414.018
8.67	416.423
8.68	416.423
8.69	417.29
8.7	417.29
8.71	418.121
8.72	418.121
8.73	418.909
8.74	418.909
8.75	419.756
8.76	419.756
8.77	420.66
8.78	420.66
8.79	423.1
8.8	423.1
8.81	423.898
8.82	423.898
8.83	424.701
8.84	424.701
8.85	425.503
8.86	425.503
8.87	426.333
8.88	426.333
8.89	427.192
8.9	427.192
8.91	429.599
8.92	429.599
8.93	430.401
8.94	430.401
8.95	431.218
8.96	431.218
8.97	432.048
8.98	432.048
8.99	432.865
9	432.865
9.01	433.667
9.02	433.667
9.03	436.047
9.04	436.047
9.05	436.849
9.06	436.849
9.07	437.652
9.08	437.652
9.09	438.454
9.1	438.454
9.11	439.25
9.12	439.25
9.13	440.038
9.14	440.038
9.15	442.411
9.16	442.411
9.17	443.214
9.18	443.214
9.19	444.009
9.2	444.009
9.21	444.798
9.22	444.798
9.23	445.591
9.24	445.591
9.25	446.389
9.26	446.389
9.27	448.761
9.28	448.761
9.29	449.55
9.3	449.55
9.31	450.339
9.32	450.339
9.33	451.127
9.34	451.127
9.35	451.92
9.36	451.92
9.37	452.718
9.38	452.718
9.39	455.091
9.4	455.091
9.41	455.879
9.42	455.879
9.43	456.668
9.44	456.668
9.45	457.457
9.46	457.457
9.47	458.25
9.48	458.25
9.49	459.048
9.5	459.048
9.51	461.42
9.52	461.42
9.53	462.209
9.54	462.209
9.55	462.997
9.56	462.997
9.57	463.786
9.58	463.786
9.59	464.614
9.6	464.614
9.61	465.481
9.62	465.481
9.63	467.889
9.64	467.889
9.65	468.677
9.66	468.677
9.67	469.524
9.68	469.524
9.69	470.429
9.7	470.429
9.71	471.291
9.72	471.291
9.73	472.089
9.74	472.089
9.75	474.462
9.76	474.462
9.77	475.25
9.78	475.25
9.79	476.074
9.8	476.074
9.81	476.932
9.82	476.932
9.83	477.762
9.84	477.762
9.85	478.565
9.86	478.565
9.87	480.951
9.88	480.951
9.89	481.768
9.9	481.768
9.91	482.577
9.92	482.577
9.93	483.38
9.94	483.38
9.95	484.175
9.96	484.175
9.97	484.964
9.98	484.964
9.99	487.337
10	487.337
10.01	488.139
10.02	488.139
10.03	488.935
10.04	488.935
10.05	489.723
10.06	489.723
10.07	490.516
10.08	490.516
10.09	491.314
10.1	491.314
10.11	493.687
10.12	493.687
10.13	494.475
10.14	494.475
10.15	495.264
10.16	495.264
10.17	496.053
10.18	496.053
10.19	496.846
10.2	496.846
10.21	497.644
10.22	497.644
10.23	500.016
10.24	500.016
10.25	500.805
10.26	500.805
10.27	501.594
10.28	501.594
10.29	502.382
10.3	502.382
10.31	503.175
10.32	503.175
10.33	503.973
10.34	503.973
10.35	506.346
10.36	506.346
10.37	507.134
10.38	507.134
10.39	507.923
10.4	507.923
10.41	508.712
10.42	508.712
10.43	509.54
10.44	509.54
10.45	510.407
10.46	510.407
10.47	512.814
10.48	512.814
10.49	513.603
10.5	513.603
10.51	514.45
10.52	514.45
10.53	515.354
10.54	515.354
10.55	516.217
10.56	516.217
10.57	517.015
10.58	517.015
10.59	519.394
10.6	519.394
10.61	520.197
10.62	520.197
10.63	521.027
10.64	521.027
10.65	521.885
10.66	521.885
10.67	522.716
10.68	522.716
10.69	523.518
10.7	523.518
10.71	525.912
10.72	525.912
10.73	526.742
10.74	526.742
10.75	527.558
10.76	527.558
10.77	528.361
10.78	528.361
10.79	529.163
10.8	529.163
10.81	529.966
10.82	529.966
10.83	532.346
10.84	532.346
10.85	533.148
10.86	533.148
10.87	533.944
10.88	533.944
10.89	534.732
10.9	534.732
10.91	535.528
10.92	535.528
10.93	536.33
10.94	536.33
10.95	538.703
10.96	538.703
10.97	539.491
10.98	539.491
10.99	540.285
11	540.285
11.01	541.083
11.02	541.083
11.03	541.878
11.04	541.878
11.05	542.667
11.06	542.667
11.07	545.032
11.08	545.032
11.09	545.821
11.1	545.821
11.11	546.614
11.12	546.614
11.13	547.412
11.14	547.412
11.15	548.208
11.16	548.208
11.17	548.996
11.18	548.996
11.19	551.362
11.2	551.362
11.21	552.15
11.22	552.15
11.23	552.944
11.24	552.944
11.25	553.741
11.26	553.741
11.27	554.537
11.28	554.537
11.29	555.326
11.3	555.326
11.31	557.691
11.32	557.691
11.33	558.48
11.34	558.48
11.35	559.308
11.36	559.308
11.37	560.175
11.38	560.175
11.39	561.006
11.4	561.006
11.41	561.794
11.42	561.794
11.43	564.218
11.44	564.218
11.45	565.122
11.46	565.122
11.47	565.985
11.48	565.985
11.49	566.783
11.5	566.783
11.51	567.579
11.52	567.579
11.53	568.367
11.54	568.367
11.55	570.768
11.56	570.768
11.57	571.626
11.58	571.626
11.59	572.456
11.6	572.456
11.61	573.259
11.62	573.259
11.63	574.068
11.64	574.068
11.65	574.885
11.66	574.885
11.67	577.271
11.68	577.271
11.69	578.074
11.7	578.074
11.71	578.869
11.72	578.869
11.73	579.658
11.74	579.658
11.75	580.453
11.76	580.453
11.77	581.256
11.78	581.256
11.79	583.628
11.8	583.628
11.81	584.417
11.82	584.417
11.83	585.21
11.84	585.21
11.85	586.008
11.86	586.008
11.87	586.804
11.88	586.804
11.89	587.592
11.9	587.592
11.91	589.958
11.92	589.958
11.93	590.746
11.94	590.746
11.95	591.54
11.96	591.54
11.97	592.338
11.98	592.338
11.99	593.133
12	593.133
12.01	593.922
12.02	593.922
12.03	596.287
12.04	596.287
12.05	597.076
12.06	597.076
12.07	597.869
12.08	597.869
12.09	598.667
12.1	598.667
12.11	599.463
12.12	599.463
12.13	600.251
12.14	600.251
12.15	602.617
12.16	602.617
12.17	603.405
12.18	603.405
12.19	604.233
12.2	604.233
12.21	605.101
12.22	605.101
12.23	605.931
12.24	605.931
12.25	606.72
12.26	606.72
12.27	609.143
12.28	609.143
12.29	610.048
12.3	610.048
12.31	610.911
12.32	610.911
12.33	611.709
12.34	611.709
12.35	612.504
12.36	612.504
12.37	613.293
12.38	613.293
12.39	615.693
12.4	615.693
12.41	616.551
12.42	616.551
12.43	617.382
12.44	617.382
