# Time(s)	Cumulative_Traffic(MB)
44.91	91.839
45.01	91.8437
45.11	91.8901
45.21	91.9315
45.31	91.9454
45.41	91.9507
45.51	91.9608
45.61	92.0127
45.71	92.0394
45.81	92.0455
45.91	92.0495
46.01	92.1031
46.11	92.1414
46.21	92.1524
46.31	92.1565
46.41	92.1756
46.51	92.2278
46.61	92.2464
46.71	92.2516
46.81	92.2617
46.91	92.3136
47.01	92.3403
47.11	92.3464
47.21	92.3504
47.31	92.4041
47.41	92.4424
47.51	92.4534
47.61	92.4574
47.71	92.4766
47.81	92.5287
47.91	92.5473
48.01	92.5525
48.11	92.5627
48.21	92.6175
48.31	92.6511
48.41	92.6595
48.51	92.6638
48.61	92.6969
48.71	92.741
48.81	92.7543
48.91	92.7584
49.01	92.7775
49.11	92.8297
49.21	92.8482
49.31	92.8535
49.41	92.8636
49.51	92.9184
49.61	92.952
49.71	92.9604
49.81	92.9648
49.91	92.9978
50.01	93.0402
